Apr. 16, 2022   13:14:53
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
2nd E (V) = 0.5
Sens 2 (A/V) = 1e-4


Current 2:


Potential/V, i1/A, i2/A
-0.153, -3.458e-4, 2.653e-6
-0.154, -3.517e-4, 2.711e-6
-0.155, -3.527e-4, 2.725e-6
-0.156, -3.575e-4, 2.788e-6
-0.157, -3.634e-4, 2.821e-6
-0.158, -3.690e-4, 2.862e-6
-0.159, -3.753e-4, 2.914e-6
-0.160, -3.772e-4, 2.953e-6
-0.161, -3.844e-4, 3.001e-6
-0.162, -3.838e-4, 3.031e-6
-0.163, -3.881e-4, 3.088e-6
-0.164, -3.932e-4, 3.115e-6
-0.165, -3.974e-4, 3.167e-6
-0.166, -4.021e-4, 3.190e-6
-0.167, -4.055e-4, 3.241e-6
-0.168, -4.147e-4, 3.310e-6
-0.169, -4.209e-4, 3.346e-6
-0.170, -4.241e-4, 3.408e-6
-0.171, -4.320e-4, 3.439e-6
-0.172, -4.373e-4, 3.523e-6
-0.173, -4.442e-4, 3.561e-6
-0.174, -4.527e-4, 3.620e-6
-0.175, -4.526e-4, 3.695e-6
-0.176, -4.624e-4, 3.753e-6
-0.177, -4.693e-4, 3.816e-6
-0.178, -4.713e-4, 3.883e-6
-0.179, -4.734e-4, 3.937e-6
-0.180, -4.788e-4, 3.963e-6
-0.181, -4.860e-4, 4.042e-6
-0.182, -4.934e-4, 4.097e-6
-0.183, -4.966e-4, 4.152e-6
-0.184, -5.005e-4, 4.238e-6
-0.185, -5.033e-4, 4.271e-6
-0.186, -5.085e-4, 4.329e-6
-0.187, -5.109e-4, 4.381e-6
-0.188, -5.139e-4, 4.445e-6
-0.189, -5.225e-4, 4.493e-6
-0.190, -5.250e-4, 4.544e-6
-0.191, -5.293e-4, 4.602e-6
-0.192, -5.323e-4, 4.683e-6
-0.193, -5.504e-4, 4.738e-6
-0.194, -5.424e-4, 4.820e-6
-0.195, -5.426e-4, 4.871e-6
-0.196, -5.481e-4, 4.899e-6
-0.197, -5.538e-4, 4.955e-6
-0.198, -5.550e-4, 5.010e-6
-0.199, -5.582e-4, 5.091e-6
-0.200, -5.606e-4, 5.124e-6
-0.201, -5.692e-4, 5.185e-6
-0.202, -5.736e-4, 5.271e-6
-0.203, -5.746e-4, 5.332e-6
-0.204, -5.777e-4, 5.374e-6
-0.205, -5.784e-4, 5.437e-6
-0.206, -5.871e-4, 5.480e-6
-0.207, -5.921e-4, 5.558e-6
-0.208, -5.991e-4, 5.636e-6
-0.209, -5.985e-4, 5.726e-6
-0.210, -6.059e-4, 5.771e-6
-0.211, -6.209e-4, 5.874e-6
-0.212, -6.075e-4, 5.956e-6
-0.213, -6.056e-4, 6.001e-6
-0.214, -6.108e-4, 6.025e-6
-0.215, -6.177e-4, 6.078e-6
-0.216, -6.265e-4, 6.173e-6
-0.217, -6.245e-4, 6.247e-6
-0.218, -6.251e-4, 6.291e-6
-0.219, -6.303e-4, 6.373e-6
-0.220, -6.371e-4, 6.474e-6
-0.221, -6.504e-4, 6.563e-6
-0.222, -6.529e-4, 6.690e-6
-0.223, -6.489e-4, 6.758e-6
-0.224, -6.463e-4, 6.826e-6
-0.225, -6.520e-4, 6.895e-6
-0.226, -6.578e-4, 6.957e-6
-0.227, -6.574e-4, 7.066e-6
-0.228, -6.617e-4, 7.124e-6
-0.229, -6.696e-4, 7.227e-6
-0.230, -6.664e-4, 7.310e-6
-0.231, -6.721e-4, 7.409e-6
-0.232, -6.817e-4, 7.508e-6
-0.233, -6.766e-4, 7.585e-6
-0.234, -6.788e-4, 7.699e-6
-0.235, -6.833e-4, 7.765e-6
-0.236, -6.920e-4, 7.869e-6
-0.237, -6.914e-4, 7.994e-6
-0.238, -6.975e-4, 8.101e-6
-0.239, -6.945e-4, 8.188e-6
-0.240, -7.019e-4, 8.311e-6
-0.241, -6.984e-4, 8.415e-6
-0.242, -6.926e-4, 8.508e-6
-0.243, -6.963e-4, 8.568e-6
-0.244, -6.911e-4, 8.627e-6
-0.245, -6.966e-4, 8.739e-6
-0.246, -7.157e-4, 8.858e-6
-0.247, -7.252e-4, 9.037e-6
-0.248, -7.359e-4, 9.190e-6
-0.249, -7.236e-4, 9.356e-6
-0.250, -7.305e-4, 9.469e-6
-0.251, -7.208e-4, 9.586e-6
-0.252, -7.193e-4, 9.718e-6
-0.253, -7.236e-4, 9.795e-6
-0.254, -7.170e-4, 9.915e-6
-0.255, -7.151e-4, 1.001e-5
-0.256, -7.147e-4, 1.013e-5
-0.257, -7.265e-4, 1.017e-5
-0.258, -7.224e-4, 1.035e-5
-0.259, -7.311e-4, 1.045e-5
-0.260, -7.304e-4, 1.056e-5
-0.261, -7.317e-4, 1.075e-5
-0.262, -7.321e-4, 1.086e-5
-0.263, -7.279e-4, 1.098e-5
-0.264, -7.245e-4, 1.108e-5
-0.265, -7.310e-4, 1.124e-5
-0.266, -7.324e-4, 1.134e-5
-0.267, -7.387e-4, 1.145e-5
-0.268, -7.351e-4, 1.161e-5
-0.269, -7.408e-4, 1.171e-5
-0.270, -7.351e-4, 1.186e-5
-0.271, -7.356e-4, 1.198e-5
-0.272, -7.355e-4, 1.214e-5
-0.273, -7.321e-4, 1.225e-5
-0.274, -7.347e-4, 1.235e-5
-0.275, -7.364e-4, 1.247e-5
-0.276, -7.341e-4, 1.260e-5
-0.277, -7.454e-4, 1.274e-5
-0.278, -7.585e-4, 1.290e-5
-0.279, -7.514e-4, 1.305e-5
-0.280, -7.353e-4, 1.320e-5
-0.281, -7.312e-4, 1.330e-5
-0.282, -7.376e-4, 1.340e-5
-0.283, -7.458e-4, 1.355e-5
-0.284, -7.447e-4, 1.365e-5
-0.285, -7.442e-4, 1.381e-5
-0.286, -7.486e-4, 1.391e-5
-0.287, -7.477e-4, 1.405e-5
-0.288, -7.491e-4, 1.416e-5
-0.289, -7.470e-4, 1.433e-5
-0.290, -7.458e-4, 1.448e-5
-0.291, -7.435e-4, 1.461e-5
-0.292, -7.511e-4, 1.472e-5
-0.293, -7.556e-4, 1.482e-5
-0.294, -7.522e-4, 1.505e-5
-0.295, -7.422e-4, 1.512e-5
-0.296, -7.405e-4, 1.526e-5
-0.297, -7.452e-4, 1.538e-5
-0.298, -7.549e-4, 1.549e-5
-0.299, -7.613e-4, 1.560e-5
-0.300, -7.579e-4, 1.580e-5
-0.301, -7.610e-4, 1.591e-5
-0.302, -7.619e-4, 1.605e-5
-0.303, -7.621e-4, 1.620e-5
-0.304, -7.647e-4, 1.634e-5
-0.305, -7.638e-4, 1.648e-5
-0.306, -7.668e-4, 1.665e-5
-0.307, -7.496e-4, 1.677e-5
-0.308, -7.472e-4, 1.689e-5
-0.309, -7.525e-4, 1.692e-5
-0.310, -7.496e-4, 1.707e-5
-0.311, -7.633e-4, 1.715e-5
-0.312, -7.482e-4, 1.725e-5
-0.313, -7.598e-4, 1.737e-5
-0.314, -7.367e-4, 1.745e-5
-0.315, -7.411e-4, 1.763e-5
-0.316, -7.479e-4, 1.765e-5
-0.317, -7.472e-4, 1.775e-5
-0.318, -7.601e-4, 1.790e-5
-0.319, -7.671e-4, 1.797e-5
-0.320, -7.625e-4, 1.813e-5
-0.321, -7.575e-4, 1.823e-5
-0.322, -7.557e-4, 1.831e-5
-0.323, -7.519e-4, 1.841e-5
-0.324, -7.623e-4, 1.854e-5
-0.325, -7.615e-4, 1.869e-5
-0.326, -7.567e-4, 1.876e-5
-0.327, -7.603e-4, 1.889e-5
-0.328, -7.642e-4, 1.897e-5
-0.329, -7.587e-4, 1.903e-5
-0.330, -7.525e-4, 1.917e-5
-0.331, -7.584e-4, 1.927e-5
-0.332, -7.568e-4, 1.933e-5
-0.333, -7.559e-4, 1.943e-5
-0.334, -7.589e-4, 1.956e-5
-0.335, -7.545e-4, 1.963e-5
-0.336, -7.690e-4, 1.973e-5
-0.337, -7.697e-4, 1.988e-5
-0.338, -7.598e-4, 1.997e-5
-0.339, -7.588e-4, 2.005e-5
-0.340, -7.552e-4, 2.017e-5
-0.341, -7.667e-4, 2.027e-5
-0.342, -7.615e-4, 2.032e-5
-0.343, -7.603e-4, 2.042e-5
-0.344, -7.537e-4, 2.047e-5
-0.345, -7.562e-4, 2.063e-5
-0.346, -7.587e-4, 2.064e-5
-0.347, -7.650e-4, 2.078e-5
-0.348, -7.676e-4, 2.092e-5
-0.349, -7.611e-4, 2.100e-5
-0.350, -7.632e-4, 2.110e-5
-0.351, -7.614e-4, 2.122e-5
-0.352, -7.702e-4, 2.127e-5
-0.353, -7.726e-4, 2.131e-5
-0.354, -7.609e-4, 2.152e-5
-0.355, -7.628e-4, 2.162e-5
-0.356, -7.602e-4, 2.167e-5
-0.357, -7.632e-4, 2.178e-5
-0.358, -7.664e-4, 2.187e-5
-0.359, -7.584e-4, 2.191e-5
-0.360, -7.501e-4, 2.203e-5
-0.361, -7.521e-4, 2.212e-5
-0.362, -7.692e-4, 2.221e-5
-0.363, -7.589e-4, 2.230e-5
-0.364, -7.663e-4, 2.237e-5
-0.365, -7.679e-4, 2.246e-5
-0.366, -7.678e-4, 2.257e-5
-0.367, -7.692e-4, 2.269e-5
-0.368, -7.765e-4, 2.274e-5
-0.369, -7.578e-4, 2.283e-5
-0.370, -7.586e-4, 2.293e-5
-0.371, -7.616e-4, 2.303e-5
-0.372, -7.619e-4, 2.308e-5
-0.373, -7.687e-4, 2.319e-5
-0.374, -7.651e-4, 2.325e-5
-0.375, -7.670e-4, 2.335e-5
-0.376, -7.660e-4, 2.348e-5
-0.377, -7.694e-4, 2.358e-5
-0.378, -7.771e-4, 2.367e-5
